2020-01-16 01:26:34 WARN  LocalWebDriverListener:62 - Creating the Driver!!!
2020-01-16 01:26:45 WARN  LocalWebDriverListener:62 - Creating the Driver!!!
2020-01-16 01:26:45 INFO  LocalWebDriverListener:46 - getting driver for: safari
2020-01-16 01:26:45 INFO  LocalWebDriverListener:47 - device name is: mac
2020-01-16 01:26:47 INFO  LocalWebDriverListener:60 - Done! Created safari driver!
2020-01-16 01:26:48 INFO  Log:12 - Info : Wait for page to load
2020-01-16 01:26:48 INFO  Log:12 - Info : Maximum wait for - 2
2020-01-16 01:26:48 INFO  Log:12 - Info : Page Load Status - complete
2020-01-16 01:26:51 INFO  Log:12 - Element Not found
2020-01-16 01:26:51 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .btn-solid-primary]
2020-01-16 01:26:52 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:53 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:53 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:54 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:26:55 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:55 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:57 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:26:57 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
